Corner column(o/p),Outer column(o/p),Inner Column(o/p),Beam(o/p),Span(i/p),Storey(i/p),Area(sqm)(i/p)
300x350,300x400,300x450,250x250,3,2,432
300x300,300x300,300x300,250x250,3,2,432
300x340,300x390,300x440,250x250,3,2,432
300x330,300x380,300x430,250x250,3,2,432
300x320,300x370,300x420,250x250,3,2,432
300x310,300x360,300x410,250x250,3,2,432
300x310,300x350,300x400,250x250,3,2,432
300x320,300x340,300x390,250x250,3,2,432
300x330,300x330,300x380,250x250,3,2,432
300x310,300x320,300x370,250x250,3,2,432
300x300,300x310,300x360,250x250,3,2,432
300x320,300x310,300x350,250x250,3,2,432
300x320,300x320,300x340,250x250,3,2,432
300x310,300x330,300x330,250x250,3,2,432
300x300,300x310,300x320,250x250,3,2,432
300x320,300x300,300x310,250x250,3,2,432
300x350,300x400,300x450,250x250,3,3,648
300x300,300x400,300x450,250x250,3,3,648
300x300,300x350,300x450,250x250,3,3,648
300x300,300x300,300x450,250x250,3,3,648
300x300,300x300,300x400,250x250,3,3,648
300x300,300x300,300x350,250x250,3,3,648
300x300,300x300,300x300,250x250,3,3,648
300x340,300x390,300x440,250x250,3,3,648
300x330,300x380,300x430,250x250,3,3,648
300x310,300x370,300x420,250x250,3,3,648
300x340,300x360,300x410,250x250,3,3,648
300x340,300x340,300x410,250x250,3,3,648
300x340,300x330,300x390,250x250,3,3,648
300x340,300x320,300x380,250x250,3,3,648
300x340,300x310,300x370,250x250,3,3,648
300x300,300x320,300x360,250x250,3,3,648
300x300,300x320,300x340,250x250,3,3,648
300x300,300x320,300x330,250x250,3,3,648
300x300,300x320,300x320,250x250,3,3,648
300x300,300x320,300x310,250x250,3,3,648
300x320,300x320,300x310,250x250,3,3,648
300x350,300x400,300x450,250x350,4,3,576
300x350,300x350,300x450,250x350,4,3,576
300x350,300x350,300x400,250x350,4,3,576
300x350,300x350,300x350,250x350,4,3,576
300x350,300x390,300x440,250x350,4,3,576
300x350,300x380,300x430,250x350,4,3,576
300x350,300x370,300x420,250x350,4,3,576
300x350,300x360,300x410,250x350,4,3,576
300x350,300x340,300x410,250x350,4,3,576
300x350,300x350,300x390,250x350,4,3,576
300x350,300x350,300x380,250x350,4,3,576
300x350,300x350,300x370,250x350,4,3,576
300x350,300x350,300x360,250x350,4,3,576
300x350,300x350,300x340,250x350,4,3,576
300x600,300x650,300x650,250x350,5,3,900
300x450,300x500,300x550,250x300,3,4,864
300x300,300x300,300x300,250x300,3,4,864
300x440,300x490,300x540,250x300,3,4,864
300x430,300x480,300x530,250x300,3,4,864
300x420,300x470,300x520,250x300,3,4,864
300x410,300x460,300x510,250x300,3,4,864
300x400,300x450,300x500,250x300,3,4,864
300x390,300x440,300x490,250x300,3,4,864
300x380,300x430,300x480,250x300,3,4,864
300x370,300x420,300x470,250x300,3,4,864
300x360,300x410,300x460,250x300,3,4,864
300x350,300x400,300x450,250x300,3,4,864
300x340,300x390,300x440,250x300,3,4,864
300x330,300x380,300x430,250x300,3,4,864
300x320,300x370,300x420,250x300,3,4,864
300x310,300x360,300x410,250x300,3,4,864
300x300,300x350,300x400,250x300,3,4,864
300x300,300x340,300x390,250x300,3,4,864
300x300,300x330,300x380,250x300,3,4,864
300x300,300x320,300x370,250x300,3,4,864
300x300,300x310,300x360,250x300,3,4,864
300x300,300x300,300x350,250x300,3,4,864
300x300,300x330,300x340,250x300,3,4,864
300x300,300x310,300x330,250x300,3,4,864
300x300,300x320,300x320,250x300,3,4,864
300x300,300x310,300x310,250x300,3,4,864
300x450,300x500,300x550,250x300,3,5,1080
300x300,300x300,300x350,250x300,3,5,1080
300x440,300x490,300x540,250x300,3,5,1080
300x430,300x480,300x530,250x300,3,5,1080
300x420,300x470,300x520,250x300,3,5,1080
300x410,300x460,300x510,250x300,3,5,1080
300x400,300x450,300x500,250x300,3,5,1080
300x390,300x440,300x490,250x300,3,5,1080
300x380,300x430,300x480,250x300,3,5,1080
300x370,300x420,300x470,250x300,3,5,1080
300x360,300x410,300x460,250x300,3,5,1080
300x350,300x400,300x450,250x300,3,5,1080
300x340,300x390,300x440,250x300,3,5,1080
300x330,300x380,300x430,250x300,3,5,1080
300x320,300x370,300x420,250x300,3,5,1080
300x310,300x360,300x410,250x300,3,5,1080
300x300,300x350,300x400,250x300,3,5,1080
300x300,300x340,300x390,250x300,3,5,1080
300x300,300x330,300x380,250x300,3,5,1080
300x300,300x320,300x370,250x300,3,5,1080
300x300,300x310,300x360,250x300,3,5,1080
300x300,300x300,300x350,250x300,3,5,1080
300x300,300x300,300x350,250x300,3,5,1080
300x330,300x300,300x340,250x300,3,5,1080
300x320,300x330,300x340,250x300,3,5,1080
300x320,300x310,300x350,250x300,3,5,1080
300x450,300x500,300x550,250x300,3,6,1296
300x400,300x500,300x550,250x300,3,6,1296
300x300,300x500,300x550,250x300,3,6,1296
300x300,300x450,300x550,250x300,3,6,1296
300x300,300x400,300x550,250x300,3,6,1296
300x300,300x350,300x550,250x300,3,6,1296
300x300,300x350,300X500,250x300,3,6,1296
300x300,300x350,300X450,250x300,3,6,1296
300x300,300x350,300x400,250x300,3,6,1296
300x300,300x350,300x350,250x300,3,6,1296
300x440,300x490,300x540,250x300,3,6,1296
300x430,300x480,300x530,250x300,3,6,1296
300x420,300x470,300x520,250x300,3,6,1296
300x410,300x460,300x510,250x300,3,6,1296
300x410,300x450,300x500,250x300,3,6,1296
300x390,300x440,300x490,250x300,3,6,1296
300x380,300x430,300x480,250x300,3,6,1296
300x370,300x420,300x470,250x300,3,6,1296
300x360,300x410,300x460,250x300,3,6,1296
300x350,300x390,300x450,250x300,3,6,1296
300x340,300x380,300x440,250x300,3,6,1296
300x330,300x370,300x430,250x300,3,6,1296
300x320,300x360,300x420,250x300,3,6,1296
300x310,300x350,300x410,250x300,3,6,1296
300x300,300x350,300x390,250x300,3,6,1296
300x300,300x350,300x380,250x300,3,6,1296
300x300,300x350,300x370,250x300,3,6,1296
300x300,300x350,300x360,250x300,3,6,1296
300x450,300x500,300x550,250x350,4,6,1152
300x400,300x500,300x550,250x350,4,6,1152
300x350,300x450,300x550,250x350,4,6,1152
300x350,300x450,300x500,250x350,4,6,1152
300x440,300x490,300x540,250x350,4,6,1152
300x430,300x480,300x530,250x350,4,6,1152
300x420,300x470,300x520,250x350,4,6,1152
300x410,300x460,300x510,250x350,4,6,1152
300x410,300x450,300x500,250x350,4,6,1152
300x390,300x450,300x500,250x350,4,6,1152
300x380,300x450,300x500,250x350,4,6,1152
300x370,300x450,300x500,250x350,4,6,1152
300x360,300x450,300x500,250x350,4,6,1152
300x600,300x600,300x650,250x450,5,6,1800
300x600,300x500,300x550,250x450,5,6,1800
300x600,300x590,300x640,250x450,5,6,1800
300x600,300x580,300x630,250x450,5,6,1800
300x600,300x570,300x620,250x450,5,6,1800
