Corner column(o/p),Outer column(o/p),Inner Column(o/p),Beam(o/p),Span(i/p),Storey(i/p),Area(sqm)(i/p)
300x300,300x350,300x450,250x300,3,4,684
300x300,300x350,300x450,250x300,3,4,684
300X300,300X340,300x450,250x300,3,4,684
300X300,300X330,300x450,250x300,3,4,684
300X300,300X320,300x450,250x300,3,4,684
300X300,300X310,300x450,250x300,3,4,684
300X300,300x300,300x450,250x300,3,4,684
300X300,300X300,300x400,250x300,3,4,684
300X300,300X300,300X390,250x300,3,4,684
300X300,300X300,300X380,250x300,3,4,684
300X300,300X300,300X370,250x300,3,4,684
300X300,300X300,300X360,250x300,3,4,684
300X300,300X300,300X350,250x300,3,4,684
300X300,300X300,300X340,250x300,3,4,684
300X300,300X300,300X330,250x300,3,4,684
300X300,300X300,300X320,250x300,3,4,684
300X300,300X300,300X310,350X300,3,4,684
300x350,300x400,300x450,250x350,4,4,768
300x350,300x390,300x450,250x350,4,4,768
300x350,300x380,300x450,250x350,4,4,768
300x350,300x370,300x450,250x350,4,4,768
300x350,300x360,300x450,250x350,4,4,768
300x350,300x350,300x450,250x350,4,4,768
300x350,300x350,300x440,250x350,4,4,768
300x350,300x350,300x430,250x350,4,4,768
300x350,300x350,300x420,250x350,4,4,768
300x350,300x350,300x410,250x350,4,4,768
300x350,300x350,300x400,250x350,4,4,768
300x500,300x500,300x550,250x450,5,4,1200
300x490,300x500,300x550,250x450,5,4,1200
300x480,300x500,300x550,250x450,5,4,1200
300x470,300x500,300x550,250x450,5,4,1200
300x460,300x500,300x550,250x450,5,4,1200
300x450,300x500,300x550,250x450,5,4,1200
300x450,300x490,300x550,250x450,5,4,1200
300x450,300x480,300x550,250x450,5,4,1200
300x450,300x470,300x550,250x450,5,4,1200
300x450,300x460,300x550,250x450,5,4,1200
300x450,300x450,300x550,250x450,5,4,1200
300x450,300x450,300x540,250x450,5,4,1200
300x450,300x450,300x530,250x450,5,4,1200
300x450,300x450,300x520,250x450,5,4,1200
300x450,300x450,300x510,250x450,5,4,1200
300x450,300x450,300x500,250X450,5,4,1200
350x550,350x600,350x650,250x350,4,7,1344
350x540,350x590,350x640,250x350,4,7,1344
350x530,350x580,350x630,250x350,4,7,1344
350x520,350x570,350x620,250x350,4,7,1344
350x510,350x560,350x610,250x350,4,7,1344
350x500,350x550,350x600,250x350,4,7,1344
350x560,350x610,350x660,250x350,4,7,1344
350x570,350x620,350x670,250x350,4,7,1344
350x580,350x630,350x680,250x350,4,7,1344
350x590,350x640,350x690,250x350,4,7,1344
350x600,350x650,350x700,250x350,4,7,1344
350x550,350x700,350x750,250x300,3,7,1197
350x350,350x350,350x350,250x300,3,7,1197
350x540,350x690,350x740,250x300,3,7,1197
350x530,350x680,350x730,250x300,3,7,1197
350x520,350x670,350x720,250x300,3,7,1197
359x510,350x660,359x710,250x300,3,7,1197
350x500,350x650,350x700,250x300,3,7,1197
350x490,350x640,350x690,250x300,3,7,1197
350x480,350x630,350x680,250x300,3,7,1197
350x470,350x620,350x670,250x300,3,7,1197
350x460,350x610,350x660,250x300,3,7,1197
350x450,350x600,350x650,250x300,3,7,1197
