Corner column(o/p),Outer column(o/p),Inner Column(o/p),Beam(o/p),Span(i/p),Storey(i/p),Area(sqm)(i/p)
350X600,350X650,350X700,250X300,3,9,1296
350X550,350X650,350X700,250X300,3,9,1296
350X500,350X650,350X700,250X300,3,9,1296
350X450,350X650,350X700,250X300,3,9,1296
350X400,350X650,350X700,250X300,3,9,1296
350X400,350X600,350X700,250X300,3,9,1296
350X400,350X600,350X700,250X300,3,9,1296
350x590,350x640,350x700,250x300,3,9,1296
350x580,350x630,350x700,250x300,3,9,1296
350x570,350x620,350x700,250x300,3,9,1296
350x560,350x610,350x700,250x300,3,9,1296
350x550,350x600,350x700,250x300,3,9,1296
350x540,350x600,350x700,250x300,3,9,1296
350x530,350x600,350x700,250x300,3,9,1296
350x520,350x600,350x700,250x300,3,9,1296
350x510,350x600,350x700,250x300,3,9,1296
350x500,350x600,350x700,250x300,3,9,1296
350x490,350x600,350x700,250x300,3,9,1296
350x480,350x600,350x700,250x300,3,9,1296
350x470,350x600,350x700,250x300,3,9,1296
350x460,350x600,350x700,250x300,3,9,1296
350x450,350x600,350x700,250x300,3,9,1296
350x440,350x600,350x700,250x300,3,9,1296
350x430,350x600,350x700,250x300,3,9,1296
350x420,350x600,350x700,250x300,3,9,1296
350x410,350x600,350x700,250x300,3,9,1296
350X400,350X600,350X700,250X300,3,8,1152
350X400,350X590,350X690,250X300,3,8,1152
350X400,350X580,350X680,250X300,3,8,1152
350X400,350X570,350X670,250X300,3,8,1152
350X400,350X560,350X660,250X300,3,8,1152
350X400,350X550,350X650,250X300,3,8,1152
350X400,350X540,350X640,250X300,3,8,1152
350X400,350X530,350X630,250X300,3,8,1152
350X400,350X520,350X620,250X300,3,8,1152
350X400,350X510,350X610,250X300,3,8,1152
350X400,350X500,350X600,250X300,3,8,1152
350X390,350X490,350X590,250X300,3,8,1152
350X380,350X480,350X580,250X300,3,8,1152
350X370,350X470,350X570,250X300,3,8,1152
350X360,350X460,350X560,250X300,3,8,1152
350X350,350X450,350X550,250X300,3,8,1152
350X350,350X440,350X540,250X300,3,8,1152
350X350,350X430,350X530,250X300,3,8,1152
350X350,350X420,350X520,250X300,3,8,1152
350X350,350X410,350X510,250X300,3,8,1152
350X350,350X400,350X500,250X300,3,8,1152
350X350,350X400,350X490,250X300,3,8,1152
350X350,350X400,350X480,250X300,3,8,1152
350X350,350X400,350X470,250X300,3,8,1152
350X350,350X400,350X460,250X300,3,8,1152
350X350,350X400,350X450,250X300,3,8,1152
350X350,350X400,350X440,250X300,3,8,1152
350X350,350X400,350X430,250X300,3,8,1152
350X450,350X600,350X450,250X300,3,6,864
