Corner column(o/p),Outer column(o/p),Inner Column(o/p),Beam(o/p),Span(i/p),Storey(i/p),Area(sqm)(i/p)
350X700,350X720,350X750,250X300,3,9,1053
350X700,350X720,350X750,250X400,4,9,1440
350X690,350X710,350X740,250X400,4,9,1440
350X680,350X700,350X730,250X400,4,9,1440
350X670,350X690,350X720,250X400,4,9,1440
350X660,350X680,350X710,250X400,4,9,1440
350X650,350X670,350X700,250X400,4,9,1440
350X640,350X660,350X690,250X400,4,9,1440
350X630,350X650,350X680,250X400,4,9,1440
350X620,350X640,350X670,250X400,4,9,1440
350X610,350X630,350X650,250X400,4,9,1440
350X600,350X620,350X630,250X400,4,9,1440
350X590,350X610,350X620,250X400,4,9,1440
350X580,350X600,350X610,250X400,4,9,1440
350X560,350X590,350X600,250X400,4,9,1440
350X550,350X580,350X590,250X400,4,9,1440
350X540,350X560,350X580,250X400,4,9,1440
350X530,350X550,350X570,250X400,4,9,1440
350X520,350X540,350X560,250X400,4,9,1440
350X510,350X530,350X550,250X400,4,9,1440
350X500,350X520,350X550,250X400,4,9,1440
350X490,350X510,350X550,250X400,4,9,1440
350X480,350X500,350X550,250X400,4,9,1440
350X470,350X500,350X550,250X400,4,9,1440
350X460,350X500,350X550,250X400,4,9,1440
350X450,350X500,350X550,250X400,4,9,1440
380X650,380X700,380X750,250X450,5,9,2250
380X640,380X690,380X740,250X450,5,9,2250
380X630,380X680,380X730,250X450,5,9,2250
380X620,380X670,380X720,250X450,5,9,2250
380X610,380X660,380X720,250X450,5,9,2250
380X600,380X650,380X720,250X450,5,9,2250
380X600,380X630,380X720,250X450,5,9,2250
380X600,380X620,380X720,250X450,5,9,2250
350X700,350X720,350X750,250X300,3,8,936
350X690,350X710,350X740,250X300,3,8,936
350X680,350X700,350X730,250X350,3,8,936
350X670,350X690,350X720,250X350,3,8,936
350X660,350X680,350X710,250X350,3,8,936
350X650,350X670,350X700,250X350,3,8,936
350X640,350X660,350X690,250X350,3,8,936
350X630,350X650,350X680,250X300,3,8,936
350X620,350X640,350X670,250X300,3,8,936
350X610,350X630,350X660,250X300,3,8,936
350X600,350X620,350X650,250X300,3,8,936
350X590,350X610,350X640,250X300,3,8,936
350X580,350X600,350X630,250X300,3,8,936
350X570,350X590,350X620,250X300,3,8,936
350X560,350X580,350X610,250X300,3,8,936
350X550,350X570,350X600,250X300,3,8,936
350X540,350X560,350X590,250X300,3,8,936
350X450,350X500,350X550,250X400,4,8,1280
350X440,350X490,350X540,250X400,4,8,1280
350X430,350X480,350X530,250X400,4,8,1280
350X420,350X470,350X520,250X400,4,8,1280
350X410,350X460,350X510,250X400,4,8,1280
350X400,350X450,350X500,250X400,4,8,1280
380X650,380X670,380X720,250X450,5,8,2000
380X640,380X660,380X720,250X450,5,8,2000
380X630,380X650,380X720,250X450,5,8,2000
380X620,380X640,380X720,250X450,5,8,2000
380X610,380X630,380X720,250X450,5,8,2000
380X600,380X620,380X720,250X450,5,8,2000
300x540,300x560,300x590,250x300,3,7,819
300x530,300x550,300x580,250x300,3,7,819
300x520,3000x540,300x570,250x300,3,7,819
300x510,300x530,300x560,250x300,3,7,819
300x500,300x520,300x550,250x300,3,7,819
300x490,300x510,300x540,250x300,3,7,819
300x480,300x500,300x530,250x300,3,7,819
300x470,300x490,300x520,250x300,3,7,819
300x460,300x480,300x510,250x300,3,7,819
300x450,300x470,300x500,250x300,3,7,819
300x440,300x460,300x490,250x300,3,7,819
300x430,300x450,300x480,250x300,3,7,819
300x420,300x440,300x470,250x300,3,7,819
300x410,300x440,300x460,250x300,3,7,819
300x400,300x440,300x450,250x300,3,7,819
300x390,300x440,300x450,250x300,3,7,819
300x380,300x440,300x450,250x300,3,7,819
350x400,350x450,350x500,250x350,4,7,1750
350x380,350x450,350x500,250x350,4,7,1750
350x600,350x620,350x720,250x450,5,7,1750
350x590,350x610,350x710,250x450,5,7,1750
350x580,350x600,350x700,250x450,5,7,1750
350x570,350x590,350x700,250x450,5,7,1750
350x560,350x580,350x700,250x450,5,7,1750
350x550,350x570,350x700,250x450,5,7,1750
350x550,350x560,350x700,250x450,5,7,1750
350x550,350x550,350x700,250x450,5,7,1750
350x550,350x540,350x700,250x450,5,7,1750
350x550,350x530,350x700,250x450,5,7,1750
350x550,350x520,350x700,250x450,5,7,1750
350x550,350x510,350x700,250x450,5,7,1750
350x550,350x500,350x700,250x450,5,7,1750
350x550,350x490,350x700,250x450,5,7,1750
350x550,350x480,350x700,250x450,5,7,1750
350x550,350x470,350x700,250x450,5,7,1750
350x550,350x460,350x700,250x450,5,7,1750
350x550,350x450,350x700,250x450,5,7,1750
350x550,350x440,350x700,250x450,5,7,1750
350x550,350x430,350x700,250x450,5,7,1750
350x550,350x420,350x700,250x450,5,7,1750
350x550,350x410,350x700,250x450,5,7,1750
350x550,350x400,350x700,250x450,5,7,1750
300X450,300X500,300X550,250X300,3,6,702
300X440,300X490,300X540,250X300,3,6,702
300X430,300X480,300X530,250X300,3,6,702
300x420,300x470,300x520,250X300,3,6,702
300x410,300x460,300x510,250X300,3,6,702
300x400,300x450,300x500,250X300,3,6,702
300x390,300x440,300x490,250X300,3,6,702
300x380,300x430,300x480,250X300,3,6,702
300x380,300x420,300x470,250X300,3,6,702
300x380,300x420,300x460,250X300,3,6,702
300x380,300x420,300x450,250X300,3,6,702
300x380,300x420,300x440,250X300,3,6,702
300x380,300x420,300x430,250X300,3,6,702
300x380,300x420,300x420,250X300,3,6,702
300x380,300x420,300x410,250X300,3,6,702
300X380,300X380,300X400,250X300,3,6,702
300X450,300X500,300X550,250X350,4,6,960
350X450,350X500,350X550,250X450,5,6,1500
350x450,350X490,350X550,250X450,5,6,1500
350X450,350x480,350X550,250X450,5,6,1500
350X450,350x470,350X550,250X450,5,6,1500
350X450,350x460,350X550,250X450,5,6,1500
