Corner column(o/p),Outer column(o/p),Inner Column(o/p),Beam(o/p),Span(i/p),Storey(i/p),Area(sqm)(i/p)
300x350,300x400,300x450,250x250,3,3,675
300x320,300x400,300x450,250x250,3,3,675
300x300,300x400,300x450,250x250,3,3,675
300x300,300x350,300x450,250x250,3,3,675
300x300,300x320,300x450,250x250,3,3,675
300x300,300x300,300x400,250x250,3,3,675
300x300,300x300,300x350,250x250,3,3,675
300x300,300x300,300x300,250x250,3,3,675
300x340,300x390,300x440,250x250,3,3,675
300x330,300x380,300x430,250x250,3,3,675
300x310,300x370,300x420,250x250,3,3,675
300x340,300x360,300x410,250x250,3,3,675
300x340,300x340,300x410,250x250,3,3,675
300x340,300x330,300x390,250x250,3,3,675
300x340,300x320,300x380,250x250,3,3,675
300x340,300x310,300x370,250x250,3,3,675
300x320,300x320,300x360,250x250,3,3,675
300x320,300x320,300x340,250x250,3,3,675
300x320,300x320,300x330,250x250,3,3,675
300x320,300x320,300x320,250x250,3,3,675
300x320,300x320,300x310,250x250,3,3,675
300x350,300x400,300x450,250x350,4,3,768
300x300,300x400,300x450,250x350,4,3,768
300x300,300x350,300x450,250x350,4,3,768
300x300,300x320,300x450,250x350,4,3,768
300x340,300x390,300x440,250x250,4,3,768
300x330,300x380,300x430,250x250,4,3,768
300x320,300x370,300x420,250x250,4,3,768
300x310,300x360,300x410,250x250,4,3,768
300x320,300x340,300x400,250x250,4,3,768
300x320,300x330,300x390,250x250,4,3,768
300x320,300x320,300x380,250x250,4,3,768
300x320,300x320,300x370,250x250,4,3,768
300x320,300x320,300x360,250x250,4,3,768
300x320,300x320,300x350,250x250,4,3,768
300x320,300x320,300x340,250x250,4,3,768
300x320,300x320,300x330,250x250,4,3,768
300x320,300x320,300x320,250x250,4,3,768
300x320,300x320,300x310,250x250,4,3,768
350x350,350x450,350x500,250x450,5,3,1200
350x300,350x450,350x500,250x450,5,3,1200
350x300,350x400,350x500,250x450,5,3,1200
350x300,350x400,350x450,250x450,5,3,1200
350x300,350x400,350x400,250x450,5,3,1200
350x340,350x440,350x490,250x450,5,3,1200
350x330,350x430,350x480,250x450,5,3,1200
350x320,350x420,350x470,250x450,5,3,1200
350x310,350x410,350x460,250x450,5,3,1200
350x310,350x410,350x440,250x450,5,3,1200
350x320,350x410,350x430,250x450,5,3,1200
350x320,350x410,350x420,250x450,5,3,1200
350x310,350x420,350x410,250x450,5,3,1200
350x450,350x500,350x550,250x250,3,5,1125
350x350,350x400,350x400,250x250,3,5,1125
350x440,350x490,350x540,250x250,3,5,1125
350x430,350x480,350x530,250x250,3,5,1125
350x420,350x470,350x520,250x250,3,5,1125
350x410,350x460,350x510,250x250,3,5,1125
350x400,350x450,350x500,250x250,3,5,1125
350x390,350x440,350x490,250x250,3,5,1125
350x380,350x430,350x480,250x250,3,5,1125
350x370,350x420,350x470,250x250,3,5,1125
350x360,350x410,350x460,250x250,3,5,1125
350x350,350x400,350x450,250x250,3,5,1125
350x360,350x390,350x440,250x250,3,5,1125
350x370,350x410,350x430,250x250,3,5,1125
350x350,350x390,350x420,250x250,3,5,1125
350x360,350x400,350x410,250x250,3,5,1125
350x450,350x500,350x550,250x250,3,6,1350
350x400,350x500,350x550,250x250,3,6,1350
350x350,350x500,350x550,250x250,3,6,1350
350x350,350x450,350x550,250x250,3,6,1350
350x350,350x400,350x550,250x250,3,6,1350
350x360,350x410,350x550,250x250,3,6,1350
350x370,350x420,350x550,250x250,3,6,1350
300x380,350x430,350x550,250x250,3,6,1350
300x390,300x440,350x550,250x250,3,6,1350
300x410,300x460,350x550,250x250,3,6,1350
300x420,300x470,350x550,250x250,3,6,1350
300x430,300x380,350x550,250x250,3,6,1350
300x440,300x390,350x550,250x250,3,6,1350
350X450,350X500,350X550,250X350,4,6,1536
350X400,350X500,350X550,250X350,4,6,1536
350X350,350X500,350X550,250X350,4,6,1536
350X350,350X450,350X550,250X350,4,6,1536
350X350,350X400,350X550,250X350,4,6,1536
350X350,350X400,350X500,250X350,4,6,1536
350X350,350X400,350X500,250X350,4,6,1536
350x440,350x490,350x540,250x350,4,6,1536
